timestamp,side,price,qty,notional,pnl,balance_usdt,note
2026-03-17T04:57:10.997633+00:00,BUY,2040.7,0.0245014,50.0,0.0,50.0,entry
2026-03-17T04:57:11.006625+00:00,SELL,2045.35,0.0245014,50.113931,0.113931,100.113931,ema_cross_down
2026-03-17T04:57:11.010219+00:00,BUY,2069.59,0.0241869,50.056966,0.0,50.056966,entry
2026-03-17T04:57:11.013768+00:00,SELL,2133.0,0.0241869,51.590657,1.533691,101.647623,take_profit
2026-03-17T04:57:11.024287+00:00,BUY,2108.53,0.02410391,50.823811,0.0,50.823811,entry
2026-03-17T04:57:11.027677+00:00,SELL,2183.0,0.02410391,52.618829,1.795018,103.442641,take_profit
2026-03-17T04:57:11.040007+00:00,BUY,2101.49,0.02461174,51.72132,0.0,51.72132,entry
2026-03-17T04:57:11.041951+00:00,SELL,2092.33,0.02461174,51.495877,-0.225444,103.217197,ema_cross_down
2026-03-17T04:57:11.049611+00:00,BUY,2078.51,0.02482961,51.608599,0.0,51.608599,entry
2026-03-17T04:57:11.050515+00:00,SELL,2070.85,0.02482961,51.418404,-0.190195,103.027002,ema_cross_down
2026-03-17T04:57:11.052902+00:00,BUY,2077.54,0.02479543,51.513501,0.0,51.513501,entry
2026-03-17T04:57:11.054156+00:00,SELL,2074.04,0.02479543,51.426717,-0.086784,102.940218,ema_cross_down
2026-03-17T04:57:11.072759+00:00,BUY,2108.8,0.0244073,51.470109,0.0,51.470109,entry
2026-03-17T04:57:11.076034+00:00,SELL,2172.19,0.0244073,53.017288,1.547179,104.487397,take_profit
2026-03-17T05:17:00.485070+00:00,BUY,2040.7,0.0245014,50.0,0.0,50.0,entry
2026-03-17T05:17:00.489471+00:00,SELL,2045.35,0.0245014,50.113931,0.113931,100.113931,ema_cross_down
2026-03-17T05:17:00.493435+00:00,BUY,2069.59,0.0241869,50.056966,0.0,50.056966,entry
2026-03-17T05:17:00.496432+00:00,SELL,2133.0,0.0241869,51.590657,1.533691,101.647623,take_profit
2026-03-17T05:17:00.501753+00:00,BUY,2108.53,0.02410391,50.823811,0.0,50.823811,entry
2026-03-17T05:17:00.505632+00:00,SELL,2183.0,0.02410391,52.618829,1.795018,103.442641,take_profit
2026-03-17T05:17:00.518952+00:00,BUY,2101.49,0.02461174,51.72132,0.0,51.72132,entry
2026-03-17T05:17:00.520464+00:00,SELL,2092.33,0.02461174,51.495877,-0.225444,103.217197,ema_cross_down
2026-03-17T05:17:00.525322+00:00,BUY,2078.51,0.02482961,51.608599,0.0,51.608599,entry
2026-03-17T05:17:00.526179+00:00,SELL,2070.85,0.02482961,51.418404,-0.190195,103.027002,ema_cross_down
2026-03-17T05:17:00.528240+00:00,BUY,2077.54,0.02479543,51.513501,0.0,51.513501,entry
2026-03-17T05:17:00.529779+00:00,SELL,2074.04,0.02479543,51.426717,-0.086784,102.940218,ema_cross_down
2026-03-17T05:17:00.542416+00:00,BUY,2108.8,0.0244073,51.470109,0.0,51.470109,entry
2026-03-17T05:17:00.547782+00:00,SELL,2172.19,0.0244073,53.017288,1.547179,104.487397,take_profit
2026-03-17T05:30:19.866686+00:00,BUY,2040.7,0.0245014,50.0,0.0,50.0,entry
2026-03-17T05:30:19.871172+00:00,SELL,2045.35,0.0245014,50.113931,0.113931,100.113931,ema_cross_down
2026-03-17T05:30:19.874521+00:00,BUY,2069.59,0.0241869,50.056966,0.0,50.056966,entry
2026-03-17T05:30:19.879079+00:00,SELL,2133.0,0.0241869,51.590657,1.533691,101.647623,take_profit
2026-03-17T05:30:19.887620+00:00,BUY,2108.53,0.02410391,50.823811,0.0,50.823811,entry
2026-03-17T05:30:19.895841+00:00,SELL,2183.0,0.02410391,52.618829,1.795018,103.442641,take_profit
2026-03-17T05:30:19.915759+00:00,BUY,2101.49,0.02461174,51.72132,0.0,51.72132,entry
2026-03-17T05:30:19.918295+00:00,SELL,2092.33,0.02461174,51.495877,-0.225444,103.217197,ema_cross_down
2026-03-17T05:30:19.935021+00:00,BUY,2078.51,0.02482961,51.608599,0.0,51.608599,entry
2026-03-17T05:30:19.936623+00:00,SELL,2070.85,0.02482961,51.418404,-0.190195,103.027002,ema_cross_down
2026-03-17T05:30:19.939977+00:00,BUY,2077.54,0.02479543,51.513501,0.0,51.513501,entry
2026-03-17T05:30:19.948884+00:00,SELL,2074.04,0.02479543,51.426717,-0.086784,102.940218,ema_cross_down
2026-03-17T05:30:19.969824+00:00,BUY,2108.8,0.0244073,51.470109,0.0,51.470109,entry
2026-03-17T05:30:19.973414+00:00,SELL,2172.19,0.0244073,53.017288,1.547179,104.487397,take_profit
2026-03-17T05:30:40.821737+00:00,BUY,1.831,27.30748225,50.0,0.0,50.0,entry
2026-03-17T05:30:40.827252+00:00,SELL,1.823,27.30748225,49.78154,-0.21846,99.78154,ema_cross_down
2026-03-17T05:30:40.834256+00:00,BUY,1.823,27.36739993,49.89077,0.0,49.89077,entry
2026-03-17T05:30:40.845393+00:00,SELL,1.844,27.36739993,50.465485,0.574715,100.356256,ema_cross_down
2026-03-17T05:30:40.847434+00:00,BUY,1.857,27.02107042,50.178128,0.0,50.178128,entry
2026-03-17T05:30:40.851265+00:00,SELL,1.854,27.02107042,50.097065,-0.081063,100.275192,ema_cross_down
2026-03-17T05:30:40.858220+00:00,BUY,1.863,26.91228994,50.137596,0.0,50.137596,entry
2026-03-17T05:30:40.859112+00:00,SELL,1.852,26.91228994,49.841561,-0.296035,99.979157,ema_cross_down
2026-03-17T05:30:40.860071+00:00,BUY,1.865,26.80406358,49.989579,0.0,49.989579,entry
2026-03-17T05:30:40.863186+00:00,SELL,1.859,26.80406358,49.828754,-0.160824,99.818333,ema_cross_down
2026-03-17T05:30:40.864844+00:00,BUY,1.876,26.60403325,49.909166,0.0,49.909166,entry
2026-03-17T05:30:40.870547+00:00,SELL,1.869,26.60403325,49.722938,-0.186228,99.632105,ema_cross_down
2026-03-17T05:30:40.873176+00:00,BUY,1.872,26.61113903,49.816052,0.0,49.816052,entry
2026-03-17T05:30:40.873823+00:00,SELL,1.863,26.61113903,49.576552,-0.2395,99.392604,ema_cross_down
2026-03-17T05:30:40.880759+00:00,BUY,1.857,26.76160589,49.696302,0.0,49.696302,entry
2026-03-17T05:30:40.884161+00:00,SELL,1.858,26.76160589,49.723064,0.026762,99.419366,ema_cross_down
2026-03-17T05:30:40.889136+00:00,BUY,1.861,26.71127509,49.709683,0.0,49.709683,entry
2026-03-17T05:30:40.900806+00:00,SELL,1.925,26.71127509,51.419205,1.709522,101.128887,take_profit
2026-03-17T05:31:31.889593+00:00,BUY,2040.7,0.0245014,50.0,0.0,50.0,entry
2026-03-17T05:31:31.895412+00:00,SELL,2045.35,0.0245014,50.113931,0.113931,100.113931,ema_cross_down
2026-03-17T05:31:31.900043+00:00,BUY,2069.59,0.0241869,50.056966,0.0,50.056966,entry
2026-03-17T05:31:31.906425+00:00,SELL,2133.0,0.0241869,51.590657,1.533691,101.647623,take_profit
2026-03-17T05:31:31.919031+00:00,BUY,2108.53,0.02410391,50.823811,0.0,50.823811,entry
2026-03-17T05:31:31.921887+00:00,SELL,2183.0,0.02410391,52.618829,1.795018,103.442641,take_profit
2026-03-17T05:31:31.930288+00:00,BUY,2101.49,0.02461174,51.72132,0.0,51.72132,entry
2026-03-17T05:31:31.931681+00:00,SELL,2092.33,0.02461174,51.495877,-0.225444,103.217197,ema_cross_down
2026-03-17T05:31:31.939472+00:00,BUY,2078.51,0.02482961,51.608599,0.0,51.608599,entry
2026-03-17T05:31:31.940331+00:00,SELL,2070.85,0.02482961,51.418404,-0.190195,103.027002,ema_cross_down
2026-03-17T05:31:31.941686+00:00,BUY,2077.54,0.02479543,51.513501,0.0,51.513501,entry
2026-03-17T05:31:31.942912+00:00,SELL,2074.04,0.02479543,51.426717,-0.086784,102.940218,ema_cross_down
2026-03-17T05:31:31.958536+00:00,BUY,2108.8,0.0244073,51.470109,0.0,51.470109,entry
2026-03-17T05:31:31.961827+00:00,SELL,2172.19,0.0244073,53.017288,1.547179,104.487397,take_profit
2026-03-17T05:31:37.011322+00:00,BUY,2097.61,0.02383665,50.0,0.0,50.0,entry
2026-03-17T05:31:37.013264+00:00,SELL,2092.01,0.02383665,49.866515,-0.133485,99.866515,ema_cross_down
2026-03-17T05:31:37.017913+00:00,BUY,2095.85,0.02382482,49.933257,0.0,49.933257,entry
2026-03-17T05:31:37.030551+00:00,SELL,2164.4,0.02382482,51.566449,1.633192,101.499706,take_profit
2026-03-17T05:31:37.038460+00:00,BUY,2178.97,0.02329075,50.749853,0.0,50.749853,entry
2026-03-17T05:31:37.041886+00:00,SELL,2174.92,0.02329075,50.655526,-0.094328,101.405379,ema_cross_down
2026-03-17T05:31:37.055394+00:00,BUY,2253.68,0.02249773,50.702689,0.0,50.702689,entry
2026-03-17T05:31:37.066236+00:00,SELL,2260.1,0.02249773,50.847125,0.144435,101.549814,ema_cross_down
2026-03-17T05:31:37.068037+00:00,BUY,2292.75,0.02214585,50.774907,0.0,50.774907,entry
2026-03-17T05:31:37.069383+00:00,SELL,2273.88,0.02214585,50.357015,-0.417892,101.131922,ema_cross_down
2026-03-17T05:31:37.070754+00:00,BUY,2291.47,0.02206704,50.565961,0.0,50.565961,entry
2026-03-17T05:31:37.082090+00:00,SELL,2362.9,0.02206704,52.14221,1.576249,102.708171,take_profit
2026-03-17T05:31:37.088435+00:00,BUY,2367.31,0.02169301,51.354085,0.0,51.354085,entry
2026-03-17T05:31:37.091740+00:00,SELL,2350.35,0.02169301,50.986172,-0.367913,102.340257,ema_cross_down
2026-03-17T05:31:37.093632+00:00,BUY,2359.4,0.02168777,51.170129,0.0,51.170129,entry
2026-03-17T05:31:37.096948+00:00,SELL,2349.84,0.02168777,50.962794,-0.207335,102.132922,ema_cross_down
2026-03-17T05:31:41.689565+00:00,BUY,69826.19,0.00071606,50.0,0.0,50.0,entry
2026-03-17T05:31:41.694440+00:00,SELL,69589.99,0.00071606,49.830866,-0.169134,99.830866,ema_cross_down
2026-03-17T05:31:41.696069+00:00,BUY,70334.88,0.00070968,49.915433,0.0,49.915433,entry
2026-03-17T05:31:41.698010+00:00,SELL,69924.69,0.00070968,49.624328,-0.291105,99.539761,ema_cross_down
2026-03-17T05:31:41.698957+00:00,BUY,70432.32,0.00070663,49.769881,0.0,49.769881,entry
2026-03-17T05:31:41.701138+00:00,SELL,70059.16,0.00070663,49.506193,-0.263688,99.276074,ema_cross_down
2026-03-17T05:31:41.719773+00:00,BUY,71148.55,0.00069767,49.638037,0.0,49.638037,entry
2026-03-17T05:31:41.721732+00:00,SELL,70711.9,0.00069767,49.3334,-0.304637,98.971437,ema_cross_down
2026-03-17T05:31:41.725094+00:00,BUY,70780.59,0.00069914,49.485718,0.0,49.485718,entry
2026-03-17T05:31:41.726776+00:00,SELL,70599.22,0.00069914,49.358915,-0.126803,98.844633,ema_cross_down
2026-03-17T05:31:41.730487+00:00,BUY,70718.86,0.00069886,49.422317,0.0,49.422317,entry
2026-03-17T05:31:41.741739+00:00,SELL,71442.49,0.00069886,49.92803,0.505713,99.350347,ema_cross_down
2026-03-17T05:31:41.752921+00:00,BUY,71819.95,0.00069166,49.675173,0.0,49.675173,entry
2026-03-17T05:31:41.754120+00:00,SELL,71488.81,0.00069166,49.446136,-0.229037,99.12131,ema_cross_down
2026-03-17T05:31:41.755490+00:00,BUY,71846.68,0.00068981,49.560655,0.0,49.560655,entry
2026-03-17T05:31:41.760375+00:00,SELL,74045.37,0.00068981,51.077336,1.516681,100.637991,take_profit
2026-03-17T05:31:41.763620+00:00,BUY,73783.42,0.00068198,50.318995,0.0,50.318995,entry
2026-03-17T05:31:41.767926+00:00,SELL,73274.76,0.00068198,49.972098,-0.346897,100.291094,ema_cross_down
2026-03-17T05:31:41.769585+00:00,BUY,73835.65,0.00067915,50.145547,0.0,50.145547,entry
2026-03-17T05:31:41.775684+00:00,SELL,74463.98,0.00067915,50.572278,0.426731,100.717825,ema_cross_down
2026-03-17T05:31:47.140206+00:00,BUY,85.82,0.58261478,50.0,0.0,50.0,entry
2026-03-17T05:31:47.145559+00:00,SELL,85.54,0.58261478,49.836868,-0.163132,99.836868,ema_cross_down
2026-03-17T05:31:47.147193+00:00,BUY,86.79,0.57516343,49.918434,0.0,49.918434,entry
2026-03-17T05:31:47.148972+00:00,SELL,86.16,0.57516343,49.556081,-0.362353,99.474515,ema_cross_down
2026-03-17T05:31:47.151365+00:00,BUY,86.8,0.57300988,49.737257,0.0,49.737257,entry
2026-03-17T05:31:47.152913+00:00,SELL,86.28,0.57300988,49.439292,-0.297965,99.17655,ema_cross_down
2026-03-17T05:31:47.154140+00:00,BUY,86.94,0.57037353,49.588275,0.0,49.588275,entry
2026-03-17T05:31:47.155295+00:00,SELL,89.76,0.57037353,51.196728,1.608453,100.785003,take_profit
2026-03-17T05:31:47.160500+00:00,BUY,89.16,0.56519181,50.392502,0.0,50.392502,entry
2026-03-17T05:31:47.163412+00:00,SELL,92.05,0.56519181,52.025906,1.633404,102.418407,take_profit
2026-03-17T05:31:47.172242+00:00,BUY,88.4,0.57928963,51.209204,0.0,51.209204,entry
2026-03-17T05:31:47.173734+00:00,SELL,88.04,0.57928963,51.000659,-0.208544,102.209863,ema_cross_down
2026-03-17T05:31:47.180596+00:00,BUY,87.04,0.58714306,51.104932,0.0,51.104932,entry
2026-03-17T05:31:47.182965+00:00,SELL,86.91,0.58714306,51.028603,-0.076329,102.133535,ema_cross_down
2026-03-17T05:31:47.194380+00:00,BUY,88.57,0.57656958,51.066767,0.0,51.066767,entry
2026-03-17T05:31:47.197444+00:00,SELL,92.01,0.57656958,53.050167,1.983399,104.116934,take_profit
2026-03-17T05:31:47.208198+00:00,BUY,94.08,0.55334255,52.058467,0.0,52.058467,entry
2026-03-17T05:31:47.208932+00:00,SELL,93.2,0.55334255,51.571526,-0.486941,103.629992,ema_cross_down
2026-03-17T05:31:47.209971+00:00,BUY,93.97,0.55139934,51.814996,0.0,51.814996,entry
2026-03-17T05:31:47.213715+00:00,SELL,97.28,0.55139934,53.640128,1.825132,105.455124,take_profit
2026-03-17T05:31:52.082319+00:00,BUY,87.94,0.56856948,50.0,0.0,50.0,entry
2026-03-17T05:31:52.085650+00:00,SELL,87.67,0.56856948,49.846486,-0.153514,99.846486,ema_cross_down
2026-03-17T05:31:52.089765+00:00,BUY,87.93,0.56776121,49.923243,0.0,49.923243,entry
2026-03-17T05:31:52.093490+00:00,SELL,88.06,0.56776121,49.997052,0.073809,99.920295,ema_cross_down
2026-03-17T05:31:52.096463+00:00,BUY,88.55,0.56420268,49.960148,0.0,49.960148,entry
2026-03-17T05:31:52.100042+00:00,SELL,91.57,0.56420268,51.66404,1.703892,101.624187,take_profit
2026-03-17T05:31:52.107213+00:00,BUY,92.11,0.55164579,50.812094,0.0,50.812094,entry
2026-03-17T05:31:52.108817+00:00,SELL,91.58,0.55164579,50.519721,-0.292372,101.331815,ema_cross_down
2026-03-17T05:31:52.111613+00:00,BUY,92.13,0.5499393,50.665908,0.0,50.665908,entry
2026-03-17T05:31:52.119410+00:00,SELL,93.47,0.5499393,51.402826,0.736919,102.068734,ema_cross_down
2026-03-17T05:31:52.120677+00:00,BUY,93.67,0.5448315,51.034367,0.0,51.034367,entry
2026-03-17T05:31:52.122161+00:00,SELL,93.55,0.5448315,50.968987,-0.06538,102.003354,ema_cross_down
2026-03-17T05:31:52.123308+00:00,BUY,93.94,0.54291757,51.001677,0.0,51.001677,entry
2026-03-17T05:31:52.124340+00:00,SELL,93.31,0.54291757,50.659639,-0.342038,101.661316,ema_cross_down
2026-03-17T05:31:52.127110+00:00,BUY,93.29,0.54486717,50.830658,0.0,50.830658,entry
2026-03-17T05:31:52.134329+00:00,SELL,93.25,0.54486717,50.808863,-0.021795,101.639521,ema_cross_down
2026-03-17T05:31:52.136744+00:00,BUY,94.0,0.54063575,50.819761,0.0,50.819761,entry
2026-03-17T05:31:52.138243+00:00,SELL,93.34,0.54063575,50.462941,-0.35682,101.282702,ema_cross_down
2026-03-17T05:31:52.140778+00:00,BUY,93.9,0.53931151,50.641351,0.0,50.641351,entry
2026-03-17T05:31:52.150728+00:00,SELL,96.76,0.53931151,52.183782,1.542431,102.825132,take_profit
2026-03-17T05:31:52.155175+00:00,BUY,96.74,0.53145096,51.412566,0.0,51.412566,entry
2026-03-17T05:31:52.155960+00:00,SELL,95.52,0.53145096,50.764196,-0.64837,102.176762,ema_cross_down
2026-03-17T05:39:05.353665+00:00,BUY,2068.61,0.02417082,50.0,0.0,50.0,entry
2026-03-17T05:39:05.358092+00:00,SELL,2053.18,0.02417082,49.627044,-0.372956,99.627044,ema_cross_down
2026-03-17T05:39:05.359793+00:00,BUY,2069.59,0.02406927,49.813522,0.0,49.813522,entry
2026-03-17T05:39:05.362444+00:00,SELL,2133.0,0.02406927,51.339755,1.526232,101.153277,take_profit
2026-03-17T05:39:05.368731+00:00,BUY,2108.53,0.02398668,50.576638,0.0,50.576638,entry
2026-03-17T05:39:05.371427+00:00,SELL,2183.0,0.02398668,52.362927,1.786288,102.939565,take_profit
2026-03-17T05:39:05.383564+00:00,BUY,2101.49,0.02449204,51.469782,0.0,51.469782,entry
2026-03-17T05:39:05.385081+00:00,SELL,2092.33,0.02449204,51.245435,-0.224347,102.715218,ema_cross_down
2026-03-17T05:39:05.389579+00:00,BUY,2078.51,0.02470886,51.357609,0.0,51.357609,entry
2026-03-17T05:39:05.390295+00:00,SELL,2070.85,0.02470886,51.168339,-0.18927,102.525948,ema_cross_down
2026-03-17T05:39:05.391759+00:00,BUY,2077.54,0.02467484,51.262974,0.0,51.262974,entry
2026-03-17T05:39:05.392745+00:00,SELL,2074.04,0.02467484,51.176612,-0.086362,102.439586,ema_cross_down
2026-03-17T05:39:05.406778+00:00,BUY,2108.8,0.0242886,51.219793,0.0,51.219793,entry
2026-03-17T05:39:05.410637+00:00,SELL,2172.19,0.0242886,52.759447,1.539654,103.97924,take_profit
2026-03-17T05:39:10.116127+00:00,BUY,2068.61,0.02417082,50.0,0.0,50.0,entry
2026-03-17T05:39:10.119802+00:00,SELL,2053.18,0.02417082,49.627044,-0.372956,99.627044,ema_cross_down
2026-03-17T05:39:10.121901+00:00,BUY,2069.59,0.02406927,49.813522,0.0,49.813522,entry
2026-03-17T05:39:10.125359+00:00,SELL,2133.0,0.02406927,51.339755,1.526232,101.153277,take_profit
2026-03-17T05:39:10.131681+00:00,BUY,2108.53,0.02398668,50.576638,0.0,50.576638,entry
2026-03-17T05:39:10.136369+00:00,SELL,2183.0,0.02398668,52.362927,1.786288,102.939565,take_profit
